url,initial_status,redirect_location,final_url,final_status,canonical,robots,title,h1,link_count,html_chars,error
https://dreamlab.id/maklon-parfum-jakarta/,308,/pabrik-parfum-jakarta/,https://dreamlab.id/pabrik-parfum-jakarta/,200,https://dreamlab.id/pabrik-parfum-jakarta/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Pabrik Parfum Jakarta Terpercaya Produksi Cepat,Pabrik Parfum Jakarta Solusi Brand Parfummu,62,222348,
https://dreamlab.id/maklon-scalp-haircare-bisnis-produk-rambut-sehat/,308,/pabrik-shampoo-merek-sendiri/,https://dreamlab.id/pabrik-shampoo-merek-sendiri/,200,https://dreamlab.id/pabrik-shampoo-merek-sendiri/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Pabrik Shampoo Untuk Merek Sendiri | MOQ Rendah,Pabrik Shampoo untuk Merek Sendiri Dengan Mudah,64,228394,
https://dreamlab.id/maklon-skincare-surabaya-umkm/,308,/pabrik-maklon-kosmetik-surabaya-terlengkap/,https://dreamlab.id/pabrik-maklon-kosmetik-surabaya-terlengkap/,200,https://dreamlab.id/pabrik-maklon-kosmetik-surabaya-terlengkap/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Pabrik Maklon Skincare Surabaya Terlengkap &amp; Berlegalitas BPOM,Pabrik Maklon Skincare Surabaya Terlengkap &amp; Berlegalitas BPOM,64,225561,
https://dreamlab.id/maklon-skincare-untuk-brand-baru/,308,/maklon-kosmetik-pemula-modal-kecil/,https://dreamlab.id/maklon-kosmetik-pemula-modal-kecil/,200,https://dreamlab.id/maklon-kosmetik-pemula-modal-kecil/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","Bisnis Kosmetik Tanpa Ribet, Hasil Pasti Sukses","Bisnis Kosmetik Tanpa Ribet, Hasil Pasti Sukses",70,235935,
https://dreamlab.id/memunculkan-keranjang-reels/,308,/news-blog/,https://dreamlab.id/news-blog/,200,https://dreamlab.id/news-blog/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Dreamlab Bisnis Kosmetik &amp; Skincare | Dreamlab,Temukan Wawasan Bisnis Kosmetik di Blog Kami,83,130153,
https://dreamlab.id/pabrik-parfum-makasar/,308,/maklon-parfum-makassar/,https://dreamlab.id/maklon-parfum-makassar/,200,https://dreamlab.id/maklon-parfum-makassar/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Tempat Produksi Parfum untuk Brandmu di Makassar,Tempat Produksi Parfum untuk Brandmu di Makassar,70,227385,
https://dreamlab.id/pabrik-parfum-surabaya-biaya-2026/,308,/produk/parfum/,https://dreamlab.id/produk/parfum/,200,https://dreamlab.id/produk/parfum/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Maklon Parfum Custom &amp; Private Label,Jasa Maklon Parfum Premium BPOM &amp; Halal,50,177691,
https://dreamlab.id/perusahaan-maklon-kosmetik/,200,,https://dreamlab.id/perusahaan-maklon-kosmetik/,200,https://dreamlab.id/perusahaan-maklon-kosmetik/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Perusahaan Maklon Kosmetik Terpercaya Indonesia,Perusahaan Maklon Kosmetik Terpercaya untuk Brand Anda,67,237374,
https://dreamlab.id/prediksi-tren-2026/,308,/8-tren-kecantikan-2026-smart-formula/,https://dreamlab.id/8-tren-kecantikan-2026-smart-formula/,200,https://dreamlab.id/8-tren-kecantikan-2026-smart-formula/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",8 Tren Kecantikan 202 Inovasi Smart Formula,Tren Skincare 2026 “Smart Formula” Akan Mendominasi Pasar Kosmetik Indonesia,69,227674,
https://dreamlab.id/produk-haircare-yang-sedang-tren/,308,/produk/haircare/,https://dreamlab.id/produk/haircare/,200,https://dreamlab.id/produk/haircare/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Jasa Maklon Haircare BPOM &amp; Halal Terdekat | Dreamlab,Jasa Maklon Hair Care Premium BPOM &amp; Halal,54,205343,
