query,clicks_c90,clicks_p90,clicks_delta,clicks_pct_change,impressions_c90,impressions_p90,impressions_delta,ctr_c90_pct,ctr_p90_pct,ctr_delta_pp,position_c90,position_p90,position_delta,c30_clicks,p30_clicks,clicks_16m,impressions_16m,trend,business_intent,brand
apakah hb dosting,0,0,0,,1,1,0,0.0,0.0,,1.0,1.0,0.0,0,0,0,2,stable,informational,False
apakah hb dosting aman,0,0,0,,1,0,1,0.0,0.0,,2.0,,,0,0,0,1,stable,informational,False
apakah hb dosting berbahaya,0,0,0,,2,0,2,0.0,0.0,,2.5,,,0,0,0,2,stable,informational,False
apakah ini mengandung alkohol?,0,0,0,,1,0,1,0.0,0.0,,4.0,,,0,0,0,1,stable,informational,False
apakah ini terbukti,0,0,0,,1,0,1,0.0,0.0,,4.0,,,0,0,0,1,stable,informational,False
apakah kopi bisa memutihkan kulit,0,0,0,,1,0,1,0.0,0.0,,2.0,,,0,0,0,1,stable,informational,False
apakah luluran kopi bisa memutihkan kulit,0,0,0,,1,0,1,0.0,0.0,,2.0,,,0,0,0,1,stable,informational,False
apakah micellar water bisa dijadikan toner,0,0,0,,5,3,2,0.0,0.0,,43.0,37.0,6.0,0,0,0,13,stable,informational,False
apakah micellar water sama dengan toner,0,0,0,,3,8,-5,0.0,0.0,,26.0,27.1,-1.1,0,0,0,16,stable,informational,False
apakah moisturizer dan cream sama,0,0,0,,3,0,3,0.0,0.0,,11.7,,,0,0,0,3,stable,informational,False
apakah moisturizer sama dengan cream,0,0,0,,2,0,2,0.0,0.0,,13.0,,,0,0,0,2,stable,informational,False
apakah panthenol berbahaya,0,0,0,,0,2,-2,0.0,0.0,,,1.0,,0,0,0,2,stable,informational,False
apakah panthenol bisa digabung dengan retinol,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,informational,False
apakah panthenol bisa digunakan setelah eksfoliasi,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,10,stable,informational,False
apakah panthenol bisa dipakai setelah eksfoliasi,0,0,0,,0,1,-1,0.0,0.0,,,1.0,,0,0,0,1,stable,informational,False
apakah panthenol bisa mencerahkan,0,0,0,,1,0,1,0.0,0.0,,17.0,,,0,0,0,1,stable,informational,False
apakah panthenol cocok untuk kulit kering,0,0,0,,0,1,-1,0.0,0.0,,,1.0,,0,0,0,21,stable,informational,False
apakah parfum ada alkoholnya,0,0,0,,7,0,7,0.0,0.0,,11.1,,,0,0,0,8,stable,informational,False
apakah parfum fresh mengandung alkohol,0,0,0,,2,1,1,0.0,0.0,,7.0,12.0,-5.0,0,0,0,3,stable,informational,False
apakah parfum jpg mengandung alkohol,0,0,0,,1,0,1,0.0,0.0,,8.0,,,0,0,0,1,stable,informational,False
apakah retinol dan panthenol boleh digabung,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,informational,False
apakah succinic acid termasuk bahan aktif,0,0,0,,3,8,-5,0.0,0.0,,8.3,11.0,-2.7,0,0,0,11,stable,informational,False
apakah toner bisa dijadikan micellar water,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,informational,False
apakah toner dan micellar water sama,0,0,0,,5,5,0,0.0,0.0,,29.4,38.8,-9.4,0,0,0,17,stable,informational,False
apalagi,0,0,0,,1,0,1,0.0,0.0,,7.0,,,0,0,0,1,stable,informational,False
aroma alkohol seperti apa,0,0,0,,2,0,2,0.0,0.0,,13.0,,,0,0,0,2,stable,informational,False
aroma trend,0,0,0,,3,1,2,0.0,0.0,,4.3,9.0,-4.7,0,0,0,4,stable,informational,False
aromanya seperti apa,0,0,0,,1,0,1,0.0,0.0,,2.0,,,0,0,0,1,stable,informational,False
asta cardix obat apa,0,0,0,,1,0,1,0.0,0.0,,3.0,,,0,0,0,1,stable,informational,False
asta gold untuk apa,0,0,0,,1,0,1,0.0,0.0,,3.0,,,0,0,0,1,stable,informational,False
astaplus obat apa,0,0,0,,1,0,1,0.0,0.0,,3.0,,,0,0,0,1,stable,informational,False
astatin obat apa,0,0,0,,3,0,3,0.0,0.0,,2.0,,,0,0,0,4,stable,informational,False
astatin obat apa ya,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,informational,False
astaxani nutraglow review,0,0,0,,1,0,1,0.0,0.0,,3.0,,,0,0,0,1,stable,informational,False
astaxani nutraglow untuk apa,0,0,0,,2,1,1,0.0,0.0,,2.5,2.0,0.5,0,0,0,3,stable,informational,False
astaxanthin apakah bisa memutihkan kulit,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,informational,False
astaxanthin cream untuk apa,0,0,0,,1,0,1,0.0,0.0,,3.0,,,0,0,0,1,stable,informational,False
astaxanthin diminum kapan,0,0,0,,1,0,1,0.0,0.0,,2.0,,,0,0,0,1,stable,informational,False
astaxanthin fungsinya apa,0,0,0,,1,0,1,0.0,0.0,,2.0,,,0,0,0,1,stable,informational,False
astaxanthin gel untuk apa,0,0,0,,1,0,1,0.0,0.0,,2.0,,,0,0,0,1,stable,informational,False
astaxanthin glutathione plus untuk apa,0,0,0,,1,0,1,0.0,0.0,,3.0,,,0,0,0,1,stable,informational,False
astaxanthin glutathione untuk apa,0,0,0,,1,0,1,0.0,0.0,,2.0,,,0,0,0,2,stable,informational,False
astaxanthin manfaat,0,0,0,,1,0,1,0.0,0.0,,3.0,,,0,0,0,1,stable,informational,False
astaxanthin natural mpl 4 mg obat apa,0,0,0,,1,0,1,0.0,0.0,,3.0,,,0,0,0,1,stable,informational,False
astaxanthin nature's red shield manfaat,0,0,0,,1,0,1,0.0,0.0,,3.0,,,0,0,0,1,stable,informational,False
astaxanthin obat apa,0,0,0,,22,0,22,0.0,0.0,,2.4,,,0,0,0,33,stable,informational,False
astaxanthin terbuat dari apa,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,2,stable,informational,False
astaxanthin untuk apa,0,0,0,,3,0,3,0.0,0.0,,2.7,,,0,0,0,4,stable,informational,False
astaxanthin yang bagus merk apa,0,0,0,,3,0,3,0.0,0.0,,3.0,,,0,0,0,3,stable,informational,False
astaxantin untuk apa,0,0,0,,1,0,1,0.0,0.0,,2.0,,,0,0,0,1,stable,informational,False
asthafull astaxanthin obat apa,0,0,0,,1,0,1,0.0,0.0,,3.0,,,0,0,0,1,stable,informational,False
asthin b ond 6 obat apa,0,0,0,,2,0,2,0.0,0.0,,3.0,,,0,0,0,2,stable,informational,False
asthin force 12 manfaat,0,0,0,,1,0,1,0.0,0.0,,3.0,,,0,0,0,1,stable,informational,False
asthin force 12 untuk usia berapa,0,0,0,,1,0,1,0.0,0.0,,3.0,,,0,0,0,1,stable,informational,False
asthin force obat apa,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,informational,False
astria obat apa,0,0,0,,1,0,1,0.0,0.0,,3.0,,,0,0,0,1,stable,informational,False
