query,clicks_c90,clicks_p90,clicks_delta,clicks_pct_change,impressions_c90,impressions_p90,impressions_delta,ctr_c90_pct,ctr_p90_pct,ctr_delta_pp,position_c90,position_p90,position_delta,c30_clicks,p30_clicks,clicks_16m,impressions_16m,trend,business_intent,brand
maklon bedak bayi,0,0,0,,36,58,-22,0.0,0.0,,11.2,31.3,-20.2,0,0,0,152,stable,commercial,False
maklon blush on,0,0,0,,1,0,1,0.0,0.0,,16.0,,,0,0,0,1,stable,commercial,False
maklon body butter,0,0,0,,39,57,-18,0.0,0.0,,17.7,32.3,-14.6,0,0,0,241,stable,commercial,False
maklon body care,2,0,2,100,160,224,-64,1.25,0.0,,13.0,20.8,-7.9,0,0,2,563,stable,commercial,False
maklon body lotion,0,0,0,,37,53,-16,0.0,0.0,,17.0,28.1,-11.1,0,0,0,128,stable,commercial,False
maklon body lotion dan body wash,0,0,0,,2,0,2,0.0,0.0,,15.5,,,0,0,0,2,stable,commercial,False
maklon body scrub,0,0,0,,49,72,-23,0.0,0.0,,17.6,32.0,-14.4,0,0,0,235,stable,commercial,False
maklon body serum,1,0,1,100,8,0,8,12.5,0.0,,14.4,,,1,0,1,8,growing,commercial,False
maklon body serum eksklusif,0,0,0,,16,0,16,0.0,0.0,,12.9,,,0,0,0,16,stable,commercial,False
maklon body tonner,0,0,0,,3,0,3,0.0,0.0,,14.0,,,0,0,0,3,stable,commercial,False
maklon body wash,0,0,0,,61,76,-15,0.0,0.0,,15.8,15.6,0.2,0,0,0,231,stable,commercial,False
maklon bodycare murah dan berkualitas,0,0,0,,6,0,6,0.0,0.0,,15.3,,,0,0,0,6,stable,pricing,False
maklon bodycare surabaya,0,0,0,,15,0,15,0.0,0.0,,12.3,,,0,0,0,15,stable,commercial,False
maklon bodycare terbaik di indonesia,0,0,0,,13,0,13,0.0,0.0,,18.0,,,0,0,0,13,stable,commercial,False
maklon cleansing balm,0,0,0,,15,0,15,0.0,0.0,,14.6,,,0,0,0,15,stable,commercial,False
maklon cleansing milk,0,0,0,,7,0,7,0.0,0.0,,18.1,,,0,0,0,7,stable,commercial,False
maklon cleansing oil,0,0,0,,9,0,9,0.0,0.0,,14.1,,,0,0,0,9,stable,commercial,False
maklon cologne,0,0,0,,6,0,6,0.0,0.0,,18.5,,,0,0,0,6,stable,commercial,False
maklon cushion,0,0,0,,3,0,3,0.0,0.0,,11.0,,,0,0,0,3,stable,commercial,False
maklon deodoran,0,0,0,,25,19,6,0.0,0.0,,16.7,29.7,-13.1,0,0,0,75,stable,commercial,False
maklon deodorant,10,2,8,400.0,36,10,26,27.78,20.0,7.78,17.1,33.8,-16.7,9,0,12,46,growing,commercial,False
maklon dry shampoo,3,0,3,100,39,0,39,7.69,0.0,,15.7,,,3,0,3,39,growing,commercial,False
maklon eye lash serum,0,0,0,,2,0,2,0.0,0.0,,19.5,,,0,0,0,2,stable,commercial,False
maklon eye mask,0,0,0,,2,0,2,0.0,0.0,,19.0,,,0,0,0,2,stable,commercial,False
maklon eye serum,0,0,0,,7,0,7,0.0,0.0,,11.0,,,0,0,0,7,stable,commercial,False
maklon face care,0,0,0,,2,0,2,0.0,0.0,,15.5,,,0,0,0,2,stable,commercial,False
maklon face foundation,0,0,0,,2,0,2,0.0,0.0,,12.0,,,0,0,0,2,stable,commercial,False
maklon face highlighter,0,0,0,,7,0,7,0.0,0.0,,14.0,,,0,0,0,7,stable,commercial,False
maklon face remover water-oil,0,0,0,,7,0,7,0.0,0.0,,13.3,,,0,0,0,7,stable,commercial,False
maklon foot care,0,0,0,,74,79,-5,0.65,0.0,,11.3,15.6,-4.3,0,0,3,462,stable,commercial,False
maklon foot cream,0,0,0,,28,0,28,0.0,0.0,,20.0,,,0,0,0,28,stable,commercial,False
maklon gel rambut,0,0,0,,26,47,-21,0.0,0.0,,14.5,20.5,-6.0,0,0,0,228,stable,commercial,False
maklon hair gel,0,0,0,,9,0,9,0.0,0.0,,13.0,,,0,0,0,9,stable,commercial,False
maklon hair mask,1,0,1,100,19,0,19,5.26,0.0,,15.4,,,0,1,1,19,declining,commercial,False
maklon hair pomade,0,0,0,,3,0,3,0.0,0.0,,20.0,,,0,0,0,3,stable,commercial,False
maklon hair serum,1,0,1,100,22,0,22,4.55,0.0,,12.6,,,0,1,1,22,declining,commercial,False
maklon hair styling cream,0,0,0,,8,0,8,0.0,0.0,,19.8,,,0,0,0,8,stable,commercial,False
maklon hand sanitizer,0,0,0,,16,0,16,0.0,0.0,,11.0,,,0,0,0,16,stable,commercial,False
maklon handbody,0,0,0,,45,68,-23,0.0,0.0,,13.7,13.7,-0.1,0,0,0,122,stable,commercial,False
maklon heat protectant,0,0,0,,3,0,3,0.0,0.0,,18.0,,,0,0,0,3,stable,commercial,False
maklon herbal,0,0,0,,1,0,1,0.0,0.0,,17.0,,,0,0,0,1,stable,commercial,False
maklon itu apa,0,0,0,,3,0,3,0.0,0.0,,11.3,,,0,0,0,4,stable,commercial,False
maklon jakarta,0,1,-1,-100.0,2,7,-5,14.29,14.29,0.0,13.5,12.7,0.8,0,0,2,14,stable,commercial,False
maklon kondisioner,0,0,0,,17,5,12,0.0,0.0,,14.2,53.4,-39.2,0,0,0,92,stable,commercial,False
maklon kosmetik,6,3,3,100.0,366,244,122,1.64,1.23,0.41,15.4,25.9,-10.4,2,0,9,818,growing,commercial,False
maklon kosmetik bali,1,1,0,0.0,52,73,-21,1.92,1.37,0.55,14.6,13.3,1.3,0,1,2,182,declining,commercial,False
