query,clicks_c90,clicks_p90,clicks_delta,clicks_pct_change,impressions_c90,impressions_p90,impressions_delta,ctr_c90_pct,ctr_p90_pct,ctr_delta_pp,position_c90,position_p90,position_delta,c30_clicks,p30_clicks,clicks_16m,impressions_16m,trend,business_intent,brand
pt kosmetika global indonesia surabaya,0,0,0,,1,0,1,0.0,0.0,,2.0,,,0,0,0,1,stable,local,False
pt kosmetika indonesia,0,0,0,,0,1,-1,0.0,0.0,,,2.0,,0,0,0,1,stable,local,False
pt loreal indonesia,0,0,0,,1,0,1,0.0,0.0,,2.0,,,0,0,0,1,stable,local,False
pt mag trada indonesia jakarta selatan,0,0,0,,1,0,1,0.0,0.0,,4.0,,,0,0,0,1,stable,local,False
pt manufaktur di surabaya,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,2,stable,local,False
pt mash moshem indonesia tulungagung,0,0,0,,0,1,-1,0.0,0.0,,,2.0,,0,0,0,1,stable,local,False
pt masumi beauty indonesia,0,0,0,,2,0,2,0.0,0.0,,53.0,,,0,0,0,2,stable,local,False
pt morlab indonesia,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,local,False
pt nayue biotech indonesia,0,0,0,,2,4,-2,0.0,0.0,,2.0,3.0,-1.0,0,0,0,6,stable,local,False
pt nayue kosmetik indonesia,0,0,0,,0,4,-4,0.0,0.0,,,5.0,,0,0,0,4,stable,local,False
pt nose herbalindo bogor,0,0,0,,1,0,1,0.0,0.0,,3.0,,,0,0,0,1,stable,local,False
pt one ject indonesia,0,0,0,,1,1,0,0.0,0.0,,3.0,3.0,0.0,0,0,0,2,stable,local,False
pt pillars cosmetiklon indonesia,0,0,0,,1,2,-1,0.0,0.0,,4.0,4.0,0.0,0,0,0,3,stable,local,False
pt ristra laboratoris indonesia,0,0,0,,1,0,1,0.0,0.0,,31.0,,,0,0,0,1,stable,local,False
pt sant group indonesia,0,0,0,,0,1,-1,0.0,0.0,,,2.0,,0,0,0,1,stable,local,False
pt sempurna medilab indonesia,0,0,0,,2,0,2,0.0,0.0,,58.0,,,0,0,0,2,stable,local,False
pt skin lab indonesia,0,0,0,,1,1,0,0.0,0.0,,39.0,55.0,-16.0,0,0,0,2,stable,local,False
pt skincare di indonesia,0,0,0,,47,33,14,0.0,0.0,,9.9,8.6,1.3,0,0,0,94,stable,local,False
pt skincare indonesia,0,0,0,,3,13,-10,0.0,0.0,,9.7,5.7,4.0,0,0,0,20,stable,local,False
pt skincare terbesar di indonesia,0,0,0,,0,9,-9,0.0,0.0,,,8.8,,0,0,0,9,stable,local,False
pt skintific indonesia,0,0,0,,1,0,1,0.0,0.0,,3.0,,,0,0,0,1,stable,local,False
pt smart lab indonesia,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,local,False
pt social bella indonesia,0,0,0,,0,1,-1,0.0,0.0,,,3.0,,0,0,0,1,stable,local,False
pt victoria care indonesia,0,0,0,,0,1,-1,0.0,0.0,,,2.0,,0,0,0,1,stable,local,False
pt victoria care indonesia tbk semarang,0,0,0,,1,0,1,0.0,0.0,,3.0,,,0,0,0,1,stable,local,False
pt vitapharm surabaya,0,0,0,,2,0,2,0.0,0.0,,2.0,,,0,0,0,2,stable,local,False
pt wahana kosmetika indonesia,0,0,0,,1,0,1,0.0,0.0,,2.0,,,0,0,0,1,stable,local,False
pt yusung advance indonesia,0,0,0,,1,0,1,0.0,0.0,,3.0,,,0,0,0,1,stable,local,False
pt. mash moshem indonesia,0,0,0,,1,0,1,0.0,0.0,,5.0,,,0,0,0,1,stable,local,False
pt. nayue biotech indonesia,0,0,0,,1,0,1,0.0,0.0,,3.0,,,0,0,0,1,stable,local,False
pt. obo cosmetic indonesia,0,0,0,,0,1,-1,0.0,0.0,,,4.0,,0,0,0,1,stable,local,False
pt. obo cosmetic indonesia foto,0,0,0,,0,1,-1,0.0,0.0,,,2.0,,0,0,0,1,stable,local,False
pt. regenesis indonesia,0,0,0,,0,1,-1,0.0,0.0,,,5.0,,0,0,0,1,stable,local,False
pusat kosmetik surabaya,0,0,0,,2,0,2,0.0,0.0,,8.5,,,0,0,0,2,stable,local,False
rekomendasi skincare terbaik indonesia 2026,0,0,0,,0,4,-4,0.0,0.0,,,17.5,,0,0,0,9,stable,local,False
rekomendasi sunscreen terbaik 2026 indonesia,0,0,0,,4,0,4,0.0,0.0,,19.0,,,0,0,0,4,stable,local,False
rekomendasi sunscreen terbaik untuk kulit indonesia 2026,0,0,0,,2,0,2,0.0,0.0,,13.0,,,0,0,0,2,stable,local,False
resep hb racikan makassar,0,0,0,,2,0,2,0.0,0.0,,6.0,,,0,0,0,2,stable,local,False
revlon indonesia,0,0,0,,5,0,5,0.0,0.0,,48.2,,,0,0,0,5,stable,local,False
royal pesona indonesia,0,0,0,,0,1,-1,0.0,0.0,,,2.0,,0,0,0,1,stable,local,False
